code,name,account_type,currency,opening_balance
FORTNOX,Fortnox synced reference,integration,SEK,0
1000,Operating Cash,asset,USD,42000
1010,Utvecklingsutgifter,asset,SEK,0
1011,Balanserade utgifter för forskning och utveckling,asset,SEK,0
1012,Balanserade utgifter för programvaror,asset,SEK,0
1018,Ackumulerade nedskrivningar på balanserade utgifter,asset,SEK,0
1019,Ackumulerade avskrivningar på balanserade utgifter,asset,SEK,0
1020,Koncessioner m.m.,asset,SEK,0
1028,Ackumulerade nedskrivningar på koncessioner m.m.,asset,SEK,0
1029,Ackumulerade avskrivningar på koncessioner m.m.,asset,SEK,0
1030,Patent,asset,SEK,0
1038,Ackumulerade nedskrivningar på patent,asset,SEK,0
1039,Ackumulerade avskrivningar på patent,asset,SEK,0
1040,Licenser,asset,SEK,0
1048,Ackumulerade nedskrivningar på licenser,asset,SEK,0
1049,Ackumulerade avskrivningar på licenser,asset,SEK,0
1050,Varumärken,asset,SEK,0
1058,Ackumulerade nedskrivningar på varumärken,asset,SEK,0
1059,Ackumulerade avskrivningar på varumärken,asset,SEK,0
1060,Hyresrätter och liknande,asset,SEK,0
1068,Ackumulerade nedskrivningar på hyresrätter och liknande,asset,SEK,0
1069,Ackumulerade avskrivningar på hyresrätter och liknande,asset,SEK,0
1070,Goodwill,asset,SEK,0
1078,Ackumulerade nedskrivningar på goodwill,asset,SEK,0
1079,Ackumulerade avskrivningar på goodwill,asset,SEK,0
1080,Pågående projekt och förskott för immateriella anläggningstillgångar,asset,SEK,0
1081,Pågående projekt för immateriella anläggningstillgångar,asset,SEK,0
1088,Förskott för immateriella anläggningstillgångar,asset,SEK,0
1090,Övriga immateriella anläggningstillgångar,asset,SEK,0
1092,Tomträtter,asset,SEK,0
1098,Ackumulerade nedskrivningar på övriga immateriella anläggningstillgångar,asset,SEK,0
1099,Ackumulerade avskrivningar på övriga immateriella anläggningstillgångar,asset,SEK,0
1100,Receivables,asset,USD,0
1110,Byggnader,asset,SEK,0
1111,Byggnader på egen mark,asset,SEK,0
1112,Byggnader på annans mark,asset,SEK,0
1118,Ackumulerade nedskrivningar på byggnader,asset,SEK,0
1119,Ackumulerade avskrivningar på byggnader,asset,SEK,0
1120,Förbättringsutgifter på annans fastighet,asset,SEK,0
1129,Ackumulerade avskrivningar på förbättringsutgifter på annans fastighet,asset,SEK,0
1130,Mark,asset,SEK,0
1140,Tomter och obebyggda markområden,asset,SEK,0
1150,Markanläggningar,asset,SEK,0
1158,Ackumulerade nedskrivningar på markanläggningar,asset,SEK,0
1159,Ackumulerade avskrivningar på markanläggningar,asset,SEK,0
1180,Pågående nyanläggningar och förskott för byggnader och mark,asset,SEK,0
1181,"Pågående ny-, till- och ombyggnad",asset,SEK,0
1188,Förskott för byggnader och mark,asset,SEK,0
1210,Maskiner och andra tekniska anläggningar,asset,SEK,0
1211,Maskiner och andra tekniska anläggningar i övrigt,asset,SEK,0
1212,Byggnads- och markinventarier (för produktion),asset,SEK,0
1213,Andra tekniska anläggningar,asset,SEK,0
1214,Datorer (för produktion),asset,SEK,0
1216,Arbetsfordon,asset,SEK,0
1217,Finansiellt leasade maskiner,asset,SEK,0
1218,Ackumulerade nedskrivningar på maskiner och andra tekniska anläggningar,asset,SEK,0
1219,Ackumulerade avskrivningar på maskiner och andra tekniska anläggningar,asset,SEK,0
1220,"Inventarier, verktyg och installationer",asset,SEK,0
1221,"Inventarier, verktyg och installationer i övrigt",asset,SEK,0
1222,Byggnads- och markinventarier (ej för produktion),asset,SEK,0
1223,Markinventarier,asset,SEK,0
1224,Datorer (ej för produktion),asset,SEK,0
1225,Verktyg,asset,SEK,0
1226,Bilar och transportmedel (ej för produktion),asset,SEK,0
1227,Finansiellt leasade inventarier,asset,SEK,0
1228,"Ackumulerade nedskrivningar på inventarier, verktyg och installationer",asset,SEK,0
1229,"Ackumulerade avskrivningar på inventarier, verktyg och installationer",asset,SEK,0
1230,(Fritt konto för Maskiner och andra tekniska anläggningar),asset,SEK,0
1231,Installationer på egen fastighet,asset,SEK,0
